2.059867668151855469e+01,5.000000000000000000e+01,2.066694641113281250e+02,2.632847463246434842e-06,6.926444010360577330e-13,7.527210288294005699e-21,3.744631271729303990e-08,0.000000000000000000e+00
1.652982711791992188e+01,1.000000000000000000e+02,1.955794372558593750e+02,3.194120945408940417e-06,6.926444010360577330e-13,5.623990606551387827e-09,3.744631271729303990e-08,8.383764070458710194e-04
1.416674232482910156e+01,1.500000000000000000e+02,2.052947845458984375e+02,1.086163101717829670e-05,6.926444010360577330e-13,2.129458778199477820e-07,3.744631271729303990e-08,3.066881932318210602e-02
1.238503551483154297e+01,2.000000000000000000e+02,2.186307983398437500e+02,3.523729275912046189e-05,6.926444010360577330e-13,1.059408646142401267e-06,3.744631271729303990e-08,2.918548509478569031e-02
1.091904830932617188e+01,2.500000000000000000e+02,2.306665802001953125e+02,8.886700868606567567e-05,5.845580963725893753e-12,1.116666908274055459e-06,3.745295273915871803e-08,1.221748441457748413e-02
9.661164283752441406e+00,3.000000000000000000e+02,2.409046173095703125e+02,1.975923776626587022e-04,1.720549569483864616e-08,6.527064329020504374e-07,3.749827115484549722e-08,5.486176814883947372e-03
8.555504798889160156e+00,3.500000000000000000e+02,2.493880310058593750e+02,2.865280210971832232e-04,1.357776540089616901e-07,3.368999443864595378e-07,4.036869682977339835e-08,3.521568141877651215e-03
7.566627979278564453e+00,4.000000000000000000e+02,2.566950378417968750e+02,4.535835608839988839e-04,4.311859242989157792e-07,1.544965897437577951e-07,8.485204006092317286e-08,3.482826286926865578e-03
5.855846405029296875e+00,5.000000000000000000e+02,2.663678588867187500e+02,1.598396897315979091e-03,3.525513193380902521e-06,5.364656203710183036e-07,1.134600665864127222e-06,2.523314021527767181e-02
4.416121482849121094e+00,6.000000000000000000e+02,2.732286987304687500e+02,3.779573043187459298e-03,6.158935320854652673e-06,2.132849230562783305e-09,6.359308827086351812e-06,3.053653798997402191e-02
3.769198894500732422e+00,6.500000000000000000e+02,2.778284606933593750e+02,4.399611399723933093e-03,4.763113793160300702e-06,3.964246542048134071e-18,8.070493095146957785e-06,2.438175678253173828e-02
3.160204648971557617e+00,7.000000000000000000e+02,2.822178649902343750e+02,4.845772130148751078e-03,4.817742592422291636e-06,5.020239787694048879e-19,9.189252523356117308e-06,2.601904422044754028e-02
2.584801197052001953e+00,7.500000000000000000e+02,2.859613342285156250e+02,5.485806783040364509e-03,5.816061275254469365e-06,1.793041673715750359e-19,1.040965526044601575e-05,3.534632176160812378e-02
2.040056705474853516e+00,8.000000000000000000e+02,2.887489929199218750e+02,6.660938858985900567e-03,7.630931577295996249e-06,6.026367484087970105e-20,1.194680316984886304e-05,5.425383895635604858e-02
1.524238824844360352e+00,8.500000000000000000e+02,2.897927246093750000e+02,8.900261486277861317e-03,1.139495088864350691e-05,1.991011132835493251e-20,1.387939573760377243e-05,8.782966434955596924e-02
1.277017354965209961e+00,8.750000000000000000e+02,2.895799255371093750e+02,1.051651436941964356e-02,1.678317494224756956e-05,1.293331784408750851e-20,1.529131805000361055e-05,1.281536370515823364e-01
1.036424160003662109e+00,9.000000000000000000e+02,2.900695190429687500e+02,1.181764708624945780e-02,1.703470661595929414e-05,1.003940546843800058e-20,1.517913551651872694e-05,1.682780086994171143e-01
8.014947175979614258e-01,9.250000000000000000e+02,2.913676147460937500e+02,1.266667340252850514e-02,6.360651696013519540e-06,8.915477042305842012e-21,1.300083567912224680e-05,1.593658328056335449e-01
5.715829133987426758e-01,9.500000000000000000e+02,2.929149169921875000e+02,1.355971587331671405e-02,8.487300533488451038e-07,8.155315023034515452e-21,1.103458089346531779e-05,1.235128715634346008e-01
3.462344408035278320e-01,9.750000000000000000e+02,2.947022705078125000e+02,1.436509254651191850e-02,1.563861360409646295e-07,8.552873050387845754e-21,9.644542842579539865e-06,2.606201358139514923e-02
1.251145452260971069e-01,1.000000000000000000e+03,2.966262512207031250e+02,1.478888320922851565e-02,7.698022663760184514e-09,1.084256957045214733e-20,8.720662663108669221e-06,1.588999759405851364e-03
